model,origin_date,target_quarter,horizon,information_cutoff,training_min_quarter,training_max_quarter,n_train,y_hat_level,g_hat_saar,status,error,max_vintage_used,max_vintage_inspected,pit_validated,audit_id
naive_last,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,24269.613,0.0,ok,,2026-08-26,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
last_growth,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,24359.13600875851,1.4836587880019794,ok,,2026-08-26,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
mean_growth,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,24391.66332874967,2.026799425798384,ok,,2026-08-26,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
ar4,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,24390.04538354176,1.999731596068658,ok,,2026-08-26,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
bridge_ridge,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,24340.93913475141,1.1807552526181648,ok,,2026-09-01,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
mean,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,19097.95100236995,-61.65615200017582,ok,,2026-08-26,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
drift,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,24391.66332874967,2.026799425798384,ok,,2026-08-26,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
seasonal_naive,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,24026.833999999988,-3.941724250009395,ok,,2026-08-26,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
random_normal,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,25059.129774078137,13.661278318491595,ok,,2026-08-26,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
random_uniform,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,25785.812792154426,27.430062617152284,ok,,2026-08-26,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
random_permutation,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,24314.38537005851,0.7399609712167419,ok,,2026-08-26,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
auto_arima,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,24400.663759306462,2.1774727933954163,ok,,2026-08-26,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
auto_ets,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,24400.300901729348,2.1713950827945174,ok,,2026-08-26,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
theta,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,24363.66156904715,1.5590963437717047,ok,,2026-08-26,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
local_trend_ssm,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,24399.82797672336,2.1634741963991453,ok,,2026-08-26,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
random_forest,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,24341.356727286508,1.1876988491963436,ok,,2026-09-01,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
xgboost,2026-09-04T00:00:00,2026Q3,1,2026-09-03,2005Q1,2026Q2,86,24352.242861651142,1.3688361751917566,ok,,2026-09-01,2026-09-01,True,45ba58b6395a40f4886aea47c46842d507a0c51818ae841a6011752f21db74e6
