model,origin_date,target_quarter,horizon,information_cutoff,training_min_quarter,training_max_quarter,n_train,y_hat_level,g_hat_saar,status,error,model_use,checkpoint_repository,checkpoint_revision,checkpoint_published_at,checkpoint_license,checkpoint_research_only,max_vintage_used,max_vintage_inspected,pit_validated,audit_id
tabpfn_bridge,2019-04-25T00:00:00,2019Q1,1,2019-04-24,2005Q1,2018Q4,56,,,unsupported,UnsupportedModel: Inadmissible tabpfn_bridge checkpoint: Checkpoint was not available before the forecast origin,research,,,,,,,2019-04-05,False,52117e357e874b884f2b6beb642e446896abdf629959d5816a44ccead7432bda
tabpfn_ts,2019-04-25T00:00:00,2019Q1,1,2019-04-24,2005Q1,2018Q4,56,,,unsupported,UnsupportedModel: Inadmissible tabpfn_ts checkpoint: Checkpoint was not available before the forecast origin,research,,,,,,,2019-04-05,False,52117e357e874b884f2b6beb642e446896abdf629959d5816a44ccead7432bda
timesfm3,2019-04-25T00:00:00,2019Q1,1,2019-04-24,2005Q1,2018Q4,56,,,unsupported,UnsupportedModel: Inadmissible timesfm3 checkpoint: Checkpoint was not available before the forecast origin,research,,,,,,,2019-04-05,False,52117e357e874b884f2b6beb642e446896abdf629959d5816a44ccead7432bda
chronos2_covariates,2019-04-25T00:00:00,2019Q1,1,2019-04-24,2005Q1,2018Q4,56,,,unsupported,UnsupportedModel: Inadmissible chronos2_covariates checkpoint: Checkpoint was not available before the forecast origin,research,,,,,,,2019-04-05,False,52117e357e874b884f2b6beb642e446896abdf629959d5816a44ccead7432bda
tabpfn_bridge,2019-07-25T00:00:00,2019Q2,1,2019-07-24,2005Q1,2019Q1,57,,,unsupported,UnsupportedModel: Inadmissible tabpfn_bridge checkpoint: Checkpoint was not available before the forecast origin,research,,,,,,,2019-07-05,False,6659b3004d54faf78e8ff63bcd5cbff709bb3178baac96e6c07106b2c2ec858b
tabpfn_ts,2019-07-25T00:00:00,2019Q2,1,2019-07-24,2005Q1,2019Q1,57,,,unsupported,UnsupportedModel: Inadmissible tabpfn_ts checkpoint: Checkpoint was not available before the forecast origin,research,,,,,,,2019-07-05,False,6659b3004d54faf78e8ff63bcd5cbff709bb3178baac96e6c07106b2c2ec858b
timesfm3,2019-07-25T00:00:00,2019Q2,1,2019-07-24,2005Q1,2019Q1,57,,,unsupported,UnsupportedModel: Inadmissible timesfm3 checkpoint: Checkpoint was not available before the forecast origin,research,,,,,,,2019-07-05,False,6659b3004d54faf78e8ff63bcd5cbff709bb3178baac96e6c07106b2c2ec858b
chronos2_covariates,2019-07-25T00:00:00,2019Q2,1,2019-07-24,2005Q1,2019Q1,57,,,unsupported,UnsupportedModel: Inadmissible chronos2_covariates checkpoint: Checkpoint was not available before the forecast origin,research,,,,,,,2019-07-05,False,6659b3004d54faf78e8ff63bcd5cbff709bb3178baac96e6c07106b2c2ec858b
tabpfn_bridge,2019-10-25T00:00:00,2019Q3,1,2019-10-24,2005Q1,2019Q2,58,,,unsupported,UnsupportedModel: Inadmissible tabpfn_bridge checkpoint: Checkpoint was not available before the forecast origin,research,,,,,,,2019-10-04,False,e2cabbfcbaacd5e73ac635411c90dad4c653421afffdf08351946461b5f67f62
tabpfn_ts,2019-10-25T00:00:00,2019Q3,1,2019-10-24,2005Q1,2019Q2,58,,,unsupported,UnsupportedModel: Inadmissible tabpfn_ts checkpoint: Checkpoint was not available before the forecast origin,research,,,,,,,2019-10-04,False,e2cabbfcbaacd5e73ac635411c90dad4c653421afffdf08351946461b5f67f62
timesfm3,2019-10-25T00:00:00,2019Q3,1,2019-10-24,2005Q1,2019Q2,58,,,unsupported,UnsupportedModel: Inadmissible timesfm3 checkpoint: Checkpoint was not available before the forecast origin,research,,,,,,,2019-10-04,False,e2cabbfcbaacd5e73ac635411c90dad4c653421afffdf08351946461b5f67f62
chronos2_covariates,2019-10-25T00:00:00,2019Q3,1,2019-10-24,2005Q1,2019Q2,58,,,unsupported,UnsupportedModel: Inadmissible chronos2_covariates checkpoint: Checkpoint was not available before the forecast origin,research,,,,,,,2019-10-04,False,e2cabbfcbaacd5e73ac635411c90dad4c653421afffdf08351946461b5f67f62
tabpfn_bridge,2020-01-25T00:00:00,2019Q4,1,2020-01-24,2005Q1,2019Q3,59,,,unsupported,UnsupportedModel: Inadmissible tabpfn_bridge checkpoint: Checkpoint was not available before the forecast origin,research,,,,,,,2020-01-10,False,6f3b177de6703ca4f9da6007374baf018bc9a4c0be4dae640ae2416ad26ab2a8
tabpfn_ts,2020-01-25T00:00:00,2019Q4,1,2020-01-24,2005Q1,2019Q3,59,,,unsupported,UnsupportedModel: Inadmissible tabpfn_ts checkpoint: Checkpoint was not available before the forecast origin,research,,,,,,,2020-01-10,False,6f3b177de6703ca4f9da6007374baf018bc9a4c0be4dae640ae2416ad26ab2a8
timesfm3,2020-01-25T00:00:00,2019Q4,1,2020-01-24,2005Q1,2019Q3,59,,,unsupported,UnsupportedModel: Inadmissible timesfm3 checkpoint: Checkpoint was not available before the forecast origin,research,,,,,,,2020-01-10,False,6f3b177de6703ca4f9da6007374baf018bc9a4c0be4dae640ae2416ad26ab2a8
chronos2_covariates,2020-01-25T00:00:00,2019Q4,1,2020-01-24,2005Q1,2019Q3,59,,,unsupported,UnsupportedModel: Inadmissible chronos2_covariates checkpoint: Checkpoint was not available before the forecast origin,research,,,,,,,2020-01-10,False,6f3b177de6703ca4f9da6007374baf018bc9a4c0be4dae640ae2416ad26ab2a8
