experiment,model,origin_date,information_cutoff,target_quarter,g_hat_saar,status,error,foundation_features
prior_origin_19_quarterly,naive_last,2026-09-04T00:00:00,2026-09-03,2026Q3,0.0,ok,,
prior_origin_19_quarterly,last_growth,2026-09-04T00:00:00,2026-09-03,2026Q3,1.4836587880019794,ok,,
prior_origin_19_quarterly,mean_growth,2026-09-04T00:00:00,2026-09-03,2026Q3,2.026799425798384,ok,,
prior_origin_19_quarterly,ar4,2026-09-04T00:00:00,2026-09-03,2026Q3,1.999731596068658,ok,,
prior_origin_19_quarterly,bridge_ridge,2026-09-04T00:00:00,2026-09-03,2026Q3,1.1807552526181648,ok,,
prior_origin_19_quarterly,mean,2026-09-04T00:00:00,2026-09-03,2026Q3,-61.65615200017582,ok,,
prior_origin_19_quarterly,drift,2026-09-04T00:00:00,2026-09-03,2026Q3,2.026799425798384,ok,,
prior_origin_19_quarterly,seasonal_naive,2026-09-04T00:00:00,2026-09-03,2026Q3,-3.941724250009395,ok,,
prior_origin_19_quarterly,random_normal,2026-09-04T00:00:00,2026-09-03,2026Q3,13.661278318491595,ok,,
prior_origin_19_quarterly,random_uniform,2026-09-04T00:00:00,2026-09-03,2026Q3,27.430062617152284,ok,,
prior_origin_19_quarterly,random_permutation,2026-09-04T00:00:00,2026-09-03,2026Q3,0.7399609712167419,ok,,
prior_origin_19_quarterly,auto_arima,2026-09-04T00:00:00,2026-09-03,2026Q3,2.1774727933954163,ok,,
prior_origin_19_quarterly,auto_ets,2026-09-04T00:00:00,2026-09-03,2026Q3,2.1713950827945174,ok,,
prior_origin_19_quarterly,theta,2026-09-04T00:00:00,2026-09-03,2026Q3,1.5590963437717047,ok,,
prior_origin_19_quarterly,local_trend_ssm,2026-09-04T00:00:00,2026-09-03,2026Q3,2.1634741963991453,ok,,
prior_origin_19_quarterly,random_forest,2026-09-04T00:00:00,2026-09-03,2026Q3,1.1876988491963436,ok,,
prior_origin_19_quarterly,xgboost,2026-09-04T00:00:00,2026-09-03,2026Q3,1.3688361751917566,ok,,
prior_origin_19_quarterly,bvar_minnesota_8,2026-09-04T00:00:00,2026-09-03,2026Q3,3.112316416183452,ok,,
prior_origin_19_quarterly,bvar_minnesota_20,2026-09-04T00:00:00,2026-09-03,2026Q3,4.548528801274853,ok,,
prior_origin_19_quarterly,bvar_minnesota_growth_8,2026-09-04T00:00:00,2026-09-03,2026Q3,2.0909855385981366,ok,,
