model,horizon,release_stage,n,n_requested,rmse,mae,baseline_rmse,rel_rmse
ar4,1,first,4,4,0.5697928829974134,0.39996752581109274,2.3612709528664175,0.24130770859046258
ar4,1,second,4,4,0.5655335204471074,0.4164163146749466,2.369792760043261,0.23864260621539896
ar4,1,third,4,4,0.5859091477396909,0.4126073939076455,2.386953104867843,0.24546320015454623
bridge_ridge,1,first,4,4,0.5398950187261048,0.3767625276542003,2.3612709528664175,0.22864594089497017
bridge_ridge,1,second,4,4,0.5280914058778716,0.3932113165180542,2.369792760043261,0.2228428640604975
bridge_ridge,1,third,4,4,0.5488472904932381,0.3947182220581815,2.386953104867843,0.22993635248800826
last_growth,1,first,4,4,0.736676606424087,0.5487579513638697,2.3612709528664175,0.3119830892468369
last_growth,1,second,4,4,0.7090050421920849,0.5271489564415532,2.369792760043261,0.29918440723869116
last_growth,1,third,4,4,0.7376448883052211,0.5473661999787904,2.386953104867843,0.3090319984925141
mean_growth,1,first,4,4,0.7382185669038341,0.5266028243279122,2.3612709528664175,0.3126361106537513
mean_growth,1,second,4,4,0.7049257139847113,0.5507320261642787,2.369792760043261,0.2974630211849591
mean_growth,1,third,4,4,0.7326203714963105,0.5626478158317185,2.386953104867843,0.3069270066522204
naive_last,1,first,4,4,2.3612709528664175,2.3070650812126243,2.3612709528664175,1.0
naive_last,1,second,4,4,2.369792760043261,2.3311942830489913,2.369792760043261,1.0
naive_last,1,third,4,4,2.386953104867843,2.343110072716431,2.386953104867843,1.0
