model,g_hat_saar,status,information_cutoff,target_quarter,prior_g_hat_saar,change_pp,role
naive_last,0.0,ok,2026-09-19,2026Q3,0.0,0.0,baseline
last_growth,1.4836587880019794,ok,2026-09-19,2026Q3,1.4836587880019794,0.0,baseline
mean_growth,2.026799425798384,ok,2026-09-19,2026Q3,2.026799425798384,0.0,baseline
ar4,1.999731596068658,ok,2026-09-19,2026Q3,1.999731596068658,0.0,model
bridge_ridge,5.568431399394455,ok,2026-09-19,2026Q3,5.7999057197626325,-0.23147432036817772,model
mean,-61.65615200017582,ok,2026-09-19,2026Q3,-61.65615200017582,0.0,control
drift,2.026799425798384,ok,2026-09-19,2026Q3,2.026799425798384,0.0,baseline
seasonal_naive,-3.941724250009395,ok,2026-09-19,2026Q3,-3.941724250009395,0.0,control
random_normal,1.2065073030185418,ok,2026-09-19,2026Q3,3.0030850392614505,-1.7965777362429087,control
random_uniform,-1.4937967381361428,ok,2026-09-19,2026Q3,-15.424516241542843,13.930719503406701,control
random_permutation,34.85500597467662,ok,2026-09-19,2026Q3,1.290696770236949,33.564309204439674,control
auto_arima,2.1774727933954163,ok,2026-09-19,2026Q3,2.1774727933954163,0.0,model
auto_ets,2.1713950827945174,ok,2026-09-19,2026Q3,2.1713950827945174,0.0,model
theta,1.5590963437717047,ok,2026-09-19,2026Q3,1.5590963437717047,0.0,model
local_trend_ssm,2.1634741963991453,ok,2026-09-19,2026Q3,2.1634741963991453,0.0,model
random_forest,1.4733525691337748,ok,2026-09-19,2026Q3,1.5016390636298989,-0.02828649449612408,model
xgboost,1.4648602128531991,ok,2026-09-19,2026Q3,1.711594253021509,-0.2467340401683098,model
bvar_minnesota_8,3.2495905770463387,ok,2026-09-19,2026Q3,3.0996524488876567,0.14993812815868202,model
bvar_minnesota_20,4.466868857050605,ok,2026-09-19,2026Q3,4.538937555219329,-0.07206869816872352,model
bvar_minnesota_growth_8,2.2715932636607694,ok,2026-09-19,2026Q3,2.0823292102900104,0.18926405337075902,model
bvar_minnesota_growth_20,4.378828415676127,ok,2026-09-19,2026Q3,4.4242325200370605,-0.04540410436093367,model
factor_pca_qd,4.171525712713627,ok,2026-09-19,2026Q3,4.824464315494628,-0.6529386027810009,model
mixed_freq_dfm_md,2.3606563965400684,ok,2026-09-19,2026Q3,2.2232540392633378,0.13740235727673067,model
lstm_univariate,-1.6837457311983866,ok,2026-09-19,2026Q3,1.4971680633395876,-3.1809137945379744,model
lstm_multivariate,4.012536275561238,ok,2026-09-19,2026Q3,2.32813063770549,1.6844056378557477,model
ensemble_avg_top3,2.0679788148134928,ok,2026-09-19,2026Q3,2.0679788148134928,0.0,model
ensemble_weighted_top5,1.8755035638493307,ok,2026-09-19,2026Q3,1.860943284297622,0.014560279551708799,model
chronos2,4.065581946005165,ok,2026-09-19,2026Q3,4.065581946005165,0.0,model
chronos2_covariates,2.3661398091662695,ok,2026-09-19,2026Q3,2.471739848536621,-0.10560003937035134,model
tabpfn_bridge,2.060588147895788,ok,2026-09-19,2026Q3,2.027130242309957,0.03345790558583106,model
tabpfn_ts,-0.128956775566613,ok,2026-09-19,2026Q3,-0.4218792644094662,0.2929224888428532,model
timesfm3,2.1649515212136228,ok,2026-09-19,2026Q3,2.1649515212136228,0.0,model
