model,origin_date,target_quarter,horizon,information_cutoff,training_min_quarter,training_max_quarter,n_train,y_hat_level,g_hat_saar,status,error,model_use,checkpoint_repository,foundation_features,checkpoint_revision,checkpoint_published_at,checkpoint_license,checkpoint_research_only,max_vintage_used,max_vintage_inspected,pit_validated,audit_id
naive_last,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24269.613,0.0,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
last_growth,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24359.13600875851,1.4836587880019794,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
mean_growth,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24391.66332874967,2.026799425798384,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
ar4,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24390.04538354176,1.9997315960686581,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
bridge_ridge,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24600.637884759464,5.568431399394455,ok,,research,,,,,,,2026-09-18,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
mean,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,19097.95100236995,-61.65615200017582,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
drift,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24391.66332874967,2.026799425798384,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
seasonal_naive,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24026.833999999988,-3.9417242500093956,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
random_normal,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24342.487772316203,1.2065073030185418,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
random_uniform,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24178.466146442413,-1.4937967381361428,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
random_permutation,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,26153.488115721364,34.85500597467662,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
auto_arima,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24400.663759306462,2.1774727933954163,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
auto_ets,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24400.300901729348,2.1713950827945174,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
theta,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24363.66156904715,1.5590963437717047,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
local_trend_ssm,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24399.82797672336,2.1634741963991453,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
random_forest,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24358.517534435785,1.4733525691337748,ok,,research,,,,,,,2026-09-18,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
xgboost,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24358.00787427238,1.4648602128531993,ok,,research,,,,,,,2026-09-18,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
bvar_minnesota_8,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24464.420660512093,3.2495905770463387,ok,,research,,,,,,,2026-09-18,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
bvar_minnesota_20,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24536.210884560936,4.466868857050605,ok,,research,,,,,,,2026-09-18,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
bvar_minnesota_growth_8,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24406.28096874504,2.2715932636607694,ok,,research,,,,,,,2026-09-18,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
bvar_minnesota_growth_20,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24531.039719082673,4.378828415676127,ok,,research,,,,,,,2026-09-18,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
factor_pca_qd,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24518.85060290267,4.171525712713627,ok,,research,,,,,,,2026-09-18,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
mixed_freq_dfm_md,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24411.592781816205,2.3606563965400684,ok,,research,,,,,,,2026-09-18,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
lstm_univariate,2026-09-20T00:00:00,2026Q3,1,2026-09-19,2005Q1,2026Q2,86,24166.801906276498,-1.6837457311983866,ok,,research,,,,,,,2026-08-26,2026-09-18,True,83ab86d0b66c061d470591f86fea57335fb017fbf4355452e2619ed6bf3016c6
