model_name,task_name,horizon,sample_count,rmse_target,mae_target,rmse_kpi_saar,mae_kpi_saar
random_normal,gdp_saar_second_h1,1,40.0,7.361815092563121,4.825887497551323,7.361815092563121,4.825887497551323
random_permutation,gdp_saar_second_h1,1,40.0,7.558433964388277,4.307811331748963,7.558433964388277,4.307811331748963
random_normal,gdp_saar_first_h1,1,40.0,7.581506318555854,5.0621585762552845,7.581506318555854,5.0621585762552845
mean,gdp_saar_third_h1,1,40.0,7.596323299101087,3.0808971509213317,7.596323299101087,3.0808971509213317
mean,gdp_saar_second_h1,1,40.0,7.59892033710549,3.090364195675058,7.59892033710549,3.090364195675058
mean,gdp_saar_first_h1,1,40.0,7.599247047729732,3.090279023079482,7.599247047729732,3.090279023079482
random_forest,gdp_saar_third_h1,1,40.0,8.00984744658787,3.2904052774104984,8.00984744658787,3.2904052774104984
random_forest,gdp_saar_first_h1,1,40.0,8.01661322212035,3.2986016778298692,8.01661322212035,3.2986016778298692
random_forest,gdp_saar_second_h1,1,40.0,8.017141653660259,3.2898667040886735,8.017141653660259,3.2898667040886735
ensemble_avg_top3,gdp_saar_third_h1,1,40.0,8.126718786286801,3.1597332410942527,8.126718786286801,3.1597332410942527
ensemble_avg_top3,gdp_saar_first_h1,1,40.0,8.129783993799855,3.1850163530035367,8.129783993799855,3.1850163530035367
ensemble_avg_top3,gdp_saar_second_h1,1,40.0,8.133038368323444,3.1712964642293815,8.133038368323444,3.1712964642293815
random_normal,gdp_saar_third_h1,1,40.0,8.458785068847972,4.803281699067632,8.458785068847972,4.803281699067632
mixed_freq_dfm_md,gdp_saar_third_h1,1,40.0,8.523135111612149,3.5206573810209734,8.523135111612149,3.5206573810209734
mixed_freq_dfm_md,gdp_saar_second_h1,1,40.0,8.525177039520889,3.5295720997178215,8.525177039520889,3.5295720997178215
mixed_freq_dfm_md,gdp_saar_first_h1,1,40.0,8.53865091623328,3.581296488646733,8.53865091623328,3.581296488646733
xgboost,gdp_saar_third_h1,1,40.0,8.637986837422218,3.2930956630036237,8.637986837422218,3.2930956630036237
xgboost,gdp_saar_first_h1,1,40.0,8.63853623334331,3.3232748046517373,8.63853623334331,3.3232748046517373
random_permutation,gdp_saar_third_h1,1,40.0,8.811045543064708,4.839457572996617,8.811045543064708,4.839457572996617
random_permutation,gdp_saar_first_h1,1,40.0,8.842888975962104,4.974693515710532,8.842888975962104,4.974693515710532
xgboost,gdp_saar_second_h1,1,40.0,8.84736069101493,3.344922885019332,8.84736069101493,3.344922885019332
local_trend_ssm,gdp_saar_third_h1,1,40.0,8.96435843185901,3.443698777762743,8.96435843185901,3.443698777762743
local_trend_ssm,gdp_saar_second_h1,1,40.0,8.971163202426705,3.450119874980383,8.971163202426705,3.450119874980383
local_trend_ssm,gdp_saar_first_h1,1,40.0,8.978101916950344,3.4718013662192924,8.978101916950344,3.4718013662192924
auto_arima,gdp_saar_third_h1,1,40.0,8.978795659212965,3.4252758255031694,8.978795659212965,3.4252758255031694
auto_arima,gdp_saar_first_h1,1,40.0,8.985393035229732,3.4604085151181154,8.985393035229732,3.4604085151181154
auto_arima,gdp_saar_second_h1,1,40.0,8.985712043945757,3.450135851965071,8.985712043945757,3.450135851965071
ar4,gdp_saar_third_h1,1,40.0,9.075211325930287,3.54686019376107,9.075211325930287,3.54686019376107
ar4,gdp_saar_second_h1,1,40.0,9.078015892247983,3.560188175384088,9.078015892247983,3.560188175384088
ar4,gdp_saar_first_h1,1,40.0,9.079594960118536,3.564229523138613,9.079594960118536,3.564229523138613
auto_ets,gdp_saar_third_h1,1,40.0,9.147167719372154,3.497502669200801,9.147167719372154,3.497502669200801
auto_ets,gdp_saar_second_h1,1,40.0,9.15065360150947,3.5089931192283634,9.15065360150947,3.5089931192283634
auto_ets,gdp_saar_first_h1,1,40.0,9.162144010260144,3.518557579265122,9.162144010260144,3.518557579265122
bvar_minnesota_growth_8,gdp_saar_third_h1,1,40.0,9.192703351677277,3.5259187302910093,9.192703351677277,3.5259187302910093
bvar_minnesota_8,gdp_saar_third_h1,1,40.0,9.193325409240096,3.525924284072393,9.193325409240096,3.525924284072393
bvar_minnesota_growth_8,gdp_saar_second_h1,1,40.0,9.194451123164175,3.5314584293117166,9.194451123164175,3.5314584293117166
bvar_minnesota_8,gdp_saar_second_h1,1,40.0,9.195072639814155,3.531465302890291,9.195072639814155,3.531465302890291
bvar_minnesota_growth_8,gdp_saar_first_h1,1,40.0,9.197085268463445,3.525605751835696,9.197085268463445,3.525605751835696
bvar_minnesota_8,gdp_saar_first_h1,1,40.0,9.197714250959933,3.525609060138801,9.197714250959933,3.525609060138801
theta,gdp_saar_third_h1,1,40.0,9.211794298072055,3.434417690901095,9.211794298072055,3.434417690901095
theta,gdp_saar_second_h1,1,40.0,9.214701668021185,3.44606495710091,9.214701668021185,3.44606495710091
theta,gdp_saar_first_h1,1,40.0,9.233434686731277,3.4682178606529748,9.233434686731277,3.4682178606529748
chronos2,gdp_saar_first_h1,1,40.0,9.357455128850793,3.6231528662145136,9.357455128850793,3.6231528662145136
chronos2,gdp_saar_third_h1,1,40.0,9.365129771163552,3.6061575531959535,9.365129771163552,3.6061575531959535
chronos2,gdp_saar_second_h1,1,40.0,9.36585190148377,3.6180357068777083,9.36585190148377,3.6180357068777083
bvar_minnesota_growth_20,gdp_saar_third_h1,1,40.0,9.519653615939925,3.619545521280604,9.519653615939925,3.619545521280604
bvar_minnesota_20,gdp_saar_third_h1,1,40.0,9.52053984385093,3.6195744835850667,9.52053984385093,3.6195744835850667
bvar_minnesota_growth_20,gdp_saar_second_h1,1,40.0,9.52153302717859,3.6249568262131766,9.52153302717859,3.6249568262131766
bvar_minnesota_20,gdp_saar_second_h1,1,40.0,9.522418297021757,3.6249874897156347,9.522418297021757,3.6249874897156347
bvar_minnesota_growth_20,gdp_saar_first_h1,1,40.0,9.523488858547012,3.6185160963159495,9.523488858547012,3.6185160963159495
bvar_minnesota_20,gdp_saar_first_h1,1,40.0,9.524386184227575,3.618506487455535,9.524386184227575,3.618506487455535
seasonal_naive,gdp_saar_first_h1,1,40.0,11.088059667065533,5.299782050400973,11.088059667065533,5.299782050400973
seasonal_naive,gdp_saar_third_h1,1,40.0,11.098046202181008,5.377925349771976,11.098046202181008,5.377925349771976
seasonal_naive,gdp_saar_second_h1,1,40.0,11.103968892812476,5.385526801645756,11.103968892812476,5.385526801645756
factor_pca_qd,gdp_saar_third_h1,1,40.0,11.356652058495191,4.380060745057679,11.356652058495191,4.380060745057679
factor_pca_qd,gdp_saar_second_h1,1,40.0,11.35674440541611,4.385134296640042,11.35674440541611,4.385134296640042
factor_pca_qd,gdp_saar_first_h1,1,40.0,11.379271276395517,4.46696869783859,11.379271276395517,4.46696869783859
naive_last,gdp_saar_first_h1,1,40.0,12.23979967479379,4.631960125267506,12.23979967479379,4.631960125267506
naive_last,gdp_saar_third_h1,1,40.0,12.241618962035915,4.607337802648544,12.241618962035915,4.607337802648544
naive_last,gdp_saar_second_h1,1,40.0,12.241839360548797,4.6203477561473845,12.241839360548797,4.6203477561473845
drift,gdp_saar_first_h1,1,40.0,12.265034845342047,4.639348704701935,12.265034845342047,4.639348704701935
drift,gdp_saar_third_h1,1,40.0,12.266752620097042,4.616022825991594,12.266752620097042,4.616022825991594
drift,gdp_saar_second_h1,1,40.0,12.266973670814123,4.62904822561134,12.266973670814123,4.62904822561134
random_uniform,gdp_saar_second_h1,1,40.0,14.602198204525617,11.237928888325133,14.602198204525617,11.237928888325133
random_uniform,gdp_saar_first_h1,1,40.0,15.850480135765645,12.563418373905833,15.850480135765645,12.563418373905833
random_uniform,gdp_saar_third_h1,1,40.0,17.661781077364715,13.730445272603967,17.661781077364715,13.730445272603967
