model_name,task_name,horizon,period,sample_count,rmse_target,mae_target,rmse_kpi_saar,mae_kpi_saar
random_normal,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,17.588932168104638,13.761892643414518,17.588932168104638,13.761892643414518
random_normal,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,17.97345441747206,14.462905706944483,17.97345441747206,14.462905706944483
random_permutation,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,19.054095759936104,15.100664973258972,19.054095759936104,15.100664973258972
random_permutation,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,20.436117031946733,17.18426593989134,20.436117031946733,17.18426593989134
mean,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,20.950400502016798,15.507270112750112,20.950400502016798,15.507270112750112
mean,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,20.955826594911915,15.531423978999163,20.955826594911915,15.531423978999163
mean,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,20.95728503279985,15.493999827969668,20.95728503279985,15.493999827969668
seasonal_naive,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,21.41628251827629,17.243853187561037,21.41628251827629,17.243853187561037
seasonal_naive,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,21.433572110989054,17.248662853240965,21.433572110989054,17.248662853240965
seasonal_naive,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,21.434214500455237,17.281869316101073,21.434214500455237,17.281869316101073
random_normal,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,21.705973494020494,17.09764452862995,21.705973494020494,17.09764452862995
random_forest,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,22.095754763022192,16.04499020193237,22.095754763022192,16.04499020193237
random_forest,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,22.110707874287275,16.04348819389144,22.110707874287275,16.04348819389144
random_forest,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,22.135746576505927,16.10880988088781,22.135746576505927,16.10880988088781
ensemble_avg_top3,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,22.533761642826516,16.565782711929725,22.533761642826516,16.565782711929725
ensemble_avg_top3,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,22.543672470368453,16.58050803926502,22.543672470368453,16.58050803926502
ensemble_avg_top3,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,22.554381345822268,16.616706897629903,22.554381345822268,16.616706897629903
random_permutation,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,22.707233115476356,17.80436553955078,22.707233115476356,17.80436553955078
mixed_freq_dfm_md,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,23.534984630116636,17.860107114816714,23.534984630116636,17.860107114816714
mixed_freq_dfm_md,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,23.539298245799234,17.8814765074871,23.539298245799234,17.8814765074871
mixed_freq_dfm_md,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,23.5396962698888,17.87175379997096,23.5396962698888,17.87175379997096
xgboost,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,23.804278379730068,17.438043618202208,23.804278379730068,17.438043618202208
xgboost,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,23.813240583539304,17.2374631524086,23.813240583539304,17.2374631524086
xgboost,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,24.38519506585523,17.48633497953415,24.38519506585523,17.48633497953415
local_trend_ssm,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,24.537008212987693,16.92084966369835,24.537008212987693,16.92084966369835
local_trend_ssm,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,24.551981742623767,16.922763006982805,24.551981742623767,16.922763006982805
local_trend_ssm,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,24.562191421024373,16.858429137037,24.562191421024373,16.858429137037
auto_arima,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,24.93702401578458,18.145087821106692,24.93702401578458,18.145087821106692
auto_arima,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,24.952952854843073,18.209886833002734,24.952952854843073,18.209886833002734
auto_arima,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,24.957416786609482,18.204036095933937,24.957416786609482,18.204036095933937
ar4,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,25.204124142855104,19.137115222117803,25.204124142855104,19.137115222117803
ar4,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,25.208178434258663,19.14206196665907,25.208178434258663,19.14206196665907
ar4,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,25.208882748974943,19.159608750560718,25.208882748974943,19.159608750560718
auto_ets,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,25.426617116599793,18.53761381844399,25.426617116599793,18.53761381844399
auto_ets,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,25.435088506761993,18.56580577658265,25.435088506761993,18.56580577658265
auto_ets,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,25.46043312055483,18.571821830994697,25.46043312055483,18.571821830994697
bvar_minnesota_growth_8,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,25.629219219139344,19.42201248768454,25.629219219139344,19.42201248768454
