model_1,model_2,win_rate,skill_score
mean,mean,0.5,0.0
mean,ensemble_avg_top3,1.0,0.026740742289671826
mean,random_forest,1.0,0.06249053348207667
mean,xgboost,1.0,0.07022910304892205
mean,auto_arima,1.0,0.10393025821827873
mean,theta,1.0,0.10504635769090287
mean,local_trend_ssm,1.0,0.10650913941865081
mean,auto_ets,1.0,0.120046396603396
mean,bvar_minnesota_growth_8,1.0,0.1248655049006111
mean,mixed_freq_dfm_md,1.0,0.1288368708482105
mean,bvar_minnesota_8,1.0,0.12486680441692688
mean,ar4,1.0,0.13210478960121863
mean,chronos2,1.0,0.14619220115472797
mean,bvar_minnesota_growth_20,1.0,0.1474254012095214
mean,bvar_minnesota_20,1.0,0.1474293269730016
mean,factor_pca_qd,1.0,0.3000459382550861
mean,naive_last,1.0,0.331761221170472
mean,random_permutation,1.0,0.34291489625855465
mean,drift,1.0,0.33295372316599836
mean,random_normal,1.0,0.3694137151395982
mean,seasonal_naive,1.0,0.4234178476777738
mean,random_uniform,1.0,0.7524087590769777
ensemble_avg_top3,mean,0.0,-0.027475456388240893
ensemble_avg_top3,ensemble_avg_top3,0.5,0.0
ensemble_avg_top3,random_forest,1.0,0.03673203302120043
ensemble_avg_top3,xgboost,1.0,0.044683223318687126
ensemble_avg_top3,auto_arima,1.0,0.07931033310713276
ensemble_avg_top3,theta,1.0,0.08045709792214184
ensemble_avg_top3,local_trend_ssm,1.0,0.08196007024545615
ensemble_avg_top3,auto_ets,1.0,0.0958692697495972
ensemble_avg_top3,bvar_minnesota_growth_8,1.0,0.1008207852466626
ensemble_avg_top3,mixed_freq_dfm_md,1.0,0.10490126628615692
ensemble_avg_top3,bvar_minnesota_8,1.0,0.10082212046778227
ensemble_avg_top3,ar4,1.0,0.10825897259834372
ensemble_avg_top3,chronos2,1.0,0.12273344221361482
ensemble_avg_top3,bvar_minnesota_growth_20,1.0,0.12400052500273162
ensemble_avg_top3,bvar_minnesota_20,1.0,0.12400455862835502
ensemble_avg_top3,factor_pca_qd,1.0,0.2808143809578415
ensemble_avg_top3,naive_last,1.0,0.3134010557458099
ensemble_avg_top3,random_permutation,1.0,0.3248611831473439
ensemble_avg_top3,drift,1.0,0.3146263222779072
ensemble_avg_top3,random_normal,1.0,0.3520880691708934
ensemble_avg_top3,seasonal_naive,1.0,0.4075759898974064
