task_name,model_name,num_windows,prep_time_s,inference_time_s,avg_time_per_window
gdp_saar_second_h1,xgboost,40,7.176958333700895,58.59057787479833,1.464764446869958
gdp_saar_first_h1,xgboost,40,6.985573330312036,58.20834316627588,1.455208579156897
gdp_saar_third_h1,xgboost,40,7.217738663894124,56.07867262628861,1.4019668156572151
gdp_saar_third_h1,chronos2,40,7.217738663894124,33.43782941822428,0.835945735455607
gdp_saar_first_h1,chronos2,40,6.985573330312036,31.245158329838887,0.7811289582459722
gdp_saar_second_h1,chronos2,40,7.176958333700895,30.91859725129325,0.7729649312823312
gdp_saar_second_h1,auto_arima,40,7.176958333700895,27.65254692255985,0.6913136730639963
gdp_saar_third_h1,auto_arima,40,7.217738663894124,27.29670695925597,0.6824176739813993
gdp_saar_first_h1,auto_arima,40,6.985573330312036,25.229902250226587,0.6307475562556647
gdp_saar_first_h1,random_forest,40,6.985573330312036,5.469241167185828,0.1367310291796457
gdp_saar_second_h1,random_forest,40,7.176958333700895,5.362965585081838,0.13407413962704595
gdp_saar_third_h1,random_forest,40,7.217738663894124,5.2473333741072565,0.13118333435268142
gdp_saar_third_h1,local_trend_ssm,40,7.217738663894124,4.202176787541248,0.1050544196885312
gdp_saar_second_h1,local_trend_ssm,40,7.176958333700895,4.0952326661208645,0.10238081665302161
gdp_saar_first_h1,local_trend_ssm,40,6.985573330312036,3.764334040810354,0.09410835102025886
gdp_saar_first_h1,mixed_freq_dfm_md,40,6.985573330312036,2.458666756050661,0.06146666890126653
gdp_saar_third_h1,auto_ets,40,7.217738663894124,1.6448362971423194,0.041120907428557986
gdp_saar_first_h1,auto_ets,40,6.985573330312036,1.602484504925087,0.04006211262312718
gdp_saar_second_h1,auto_ets,40,7.176958333700895,1.5905762863112614,0.03976440715778153
gdp_saar_third_h1,factor_pca_qd,40,7.217738663894124,1.3859916649525985,0.034649791623814964
gdp_saar_second_h1,factor_pca_qd,40,7.176958333700895,1.3793837913544849,0.03448459478386212
gdp_saar_first_h1,factor_pca_qd,40,6.985573330312036,1.3631552918814123,0.034078882297035304
gdp_saar_second_h1,mixed_freq_dfm_md,40,7.176958333700895,1.2882574149407446,0.03220643537351862
gdp_saar_third_h1,mixed_freq_dfm_md,40,7.217738663894124,1.2520963790593669,0.031302409476484175
gdp_saar_second_h1,bvar_minnesota_20,40,7.176958333700895,1.0478014971595258,0.026195037428988144
gdp_saar_third_h1,bvar_minnesota_growth_20,40,7.217738663894124,1.0425812900066376,0.026064532250165938
gdp_saar_third_h1,bvar_minnesota_20,40,7.217738663894124,1.0405343325110152,0.026013358312775382
gdp_saar_first_h1,bvar_minnesota_growth_20,40,6.985573330312036,1.0180622901534662,0.025451557253836653
gdp_saar_second_h1,bvar_minnesota_growth_20,40,7.176958333700895,1.0057149190688506,0.025142872976721263
gdp_saar_first_h1,bvar_minnesota_20,40,6.985573330312036,0.9995429990813136,0.02498857497703284
gdp_saar_third_h1,bvar_minnesota_growth_8,40,7.217738663894124,0.948006541817449,0.023700163545436227
gdp_saar_second_h1,bvar_minnesota_8,40,7.176958333700895,0.9448659960180521,0.023621649900451302
gdp_saar_second_h1,bvar_minnesota_growth_8,40,7.176958333700895,0.9409957465250045,0.023524893663125112
gdp_saar_first_h1,bvar_minnesota_8,40,6.985573330312036,0.9303989574545994,0.023259973936364985
gdp_saar_first_h1,bvar_minnesota_growth_8,40,6.985573330312036,0.9302084982628003,0.02325521245657001
gdp_saar_third_h1,bvar_minnesota_8,40,7.217738663894124,0.925631629419513,0.023140790735487825
gdp_saar_second_h1,theta,40,7.176958333700895,0.789890871848911,0.019747271796222775
gdp_saar_first_h1,theta,40,6.985573330312036,0.7859157948987558,0.019647894872468895
