task_name,window_idx,train_cutoff_timestamp,train_vintage,train_vintage_source,strict_mode,fallback_to_earliest
gdp_saar_first_h1,0,2015-07-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_first_h1,1,2015-10-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_first_h1,2,2016-01-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_first_h1,3,2016-04-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_first_h1,4,2016-07-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_first_h1,5,2016-10-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_first_h1,6,2017-01-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_first_h1,7,2017-04-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_first_h1,8,2017-07-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_first_h1,9,2017-10-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_first_h1,10,2018-01-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_first_h1,11,2018-04-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_first_h1,12,2018-07-01T00:00:00,2018-07,historical_csv,False,True
gdp_saar_first_h1,13,2018-10-01T00:00:00,2018-10,historical_csv,False,True
gdp_saar_first_h1,14,2019-01-01T00:00:00,2019-01,historical_csv,False,True
gdp_saar_first_h1,15,2019-04-01T00:00:00,2019-04,historical_csv,False,True
gdp_saar_first_h1,16,2019-07-01T00:00:00,2019-07,historical_csv,False,True
gdp_saar_first_h1,17,2019-10-01T00:00:00,2019-10,historical_csv,False,True
gdp_saar_first_h1,18,2020-01-01T00:00:00,2020-01,historical_csv,False,True
gdp_saar_first_h1,19,2020-04-01T00:00:00,2020-04,historical_csv,False,True
gdp_saar_first_h1,20,2020-07-01T00:00:00,2020-07,historical_csv,False,True
gdp_saar_first_h1,21,2020-10-01T00:00:00,2020-10,historical_csv,False,True
gdp_saar_first_h1,22,2021-01-01T00:00:00,2021-01,historical_csv,False,True
gdp_saar_first_h1,23,2021-04-01T00:00:00,2021-04,historical_csv,False,True
gdp_saar_first_h1,24,2021-07-01T00:00:00,2021-07,historical_csv,False,True
gdp_saar_first_h1,25,2021-10-01T00:00:00,2021-10,historical_csv,False,True
gdp_saar_first_h1,26,2022-01-01T00:00:00,2022-01,historical_csv,False,True
gdp_saar_first_h1,27,2022-04-01T00:00:00,2022-04,historical_csv,False,True
gdp_saar_first_h1,28,2022-07-01T00:00:00,2022-07,historical_csv,False,True
gdp_saar_first_h1,29,2022-10-01T00:00:00,2022-10,historical_csv,False,True
gdp_saar_first_h1,30,2023-01-01T00:00:00,2023-01,historical_csv,False,True
gdp_saar_first_h1,31,2023-04-01T00:00:00,2023-04,historical_csv,False,True
gdp_saar_first_h1,32,2023-07-01T00:00:00,2023-07,historical_csv,False,True
gdp_saar_first_h1,33,2023-10-01T00:00:00,2023-10,historical_csv,False,True
gdp_saar_first_h1,34,2024-01-01T00:00:00,2024-01,historical_csv,False,True
gdp_saar_first_h1,35,2024-04-01T00:00:00,2024-04,historical_csv,False,True
gdp_saar_first_h1,36,2024-07-01T00:00:00,2024-07,historical_csv,False,True
gdp_saar_first_h1,37,2024-10-01T00:00:00,2024-10,historical_csv,False,True
gdp_saar_first_h1,38,2025-01-01T00:00:00,2025-01,historical_csv,False,True
gdp_saar_first_h1,39,2025-04-01T00:00:00,2025-04,historical_csv,False,True
gdp_saar_second_h1,0,2015-04-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_second_h1,1,2015-07-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_second_h1,2,2015-10-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_second_h1,3,2016-01-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_second_h1,4,2016-04-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_second_h1,5,2016-07-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_second_h1,6,2016-10-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_second_h1,7,2017-01-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_second_h1,8,2017-04-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_second_h1,9,2017-07-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_second_h1,10,2017-10-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_second_h1,11,2018-01-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_second_h1,12,2018-04-01T00:00:00,2018-05,historical_csv,False,True
gdp_saar_second_h1,13,2018-07-01T00:00:00,2018-07,historical_csv,False,True
gdp_saar_second_h1,14,2018-10-01T00:00:00,2018-10,historical_csv,False,True
gdp_saar_second_h1,15,2019-01-01T00:00:00,2019-01,historical_csv,False,True
gdp_saar_second_h1,16,2019-04-01T00:00:00,2019-04,historical_csv,False,True
gdp_saar_second_h1,17,2019-07-01T00:00:00,2019-07,historical_csv,False,True
gdp_saar_second_h1,18,2019-10-01T00:00:00,2019-10,historical_csv,False,True
gdp_saar_second_h1,19,2020-01-01T00:00:00,2020-01,historical_csv,False,True
gdp_saar_second_h1,20,2020-04-01T00:00:00,2020-04,historical_csv,False,True
gdp_saar_second_h1,21,2020-07-01T00:00:00,2020-07,historical_csv,False,True
gdp_saar_second_h1,22,2020-10-01T00:00:00,2020-10,historical_csv,False,True
gdp_saar_second_h1,23,2021-01-01T00:00:00,2021-01,historical_csv,False,True
gdp_saar_second_h1,24,2021-04-01T00:00:00,2021-04,historical_csv,False,True
gdp_saar_second_h1,25,2021-07-01T00:00:00,2021-07,historical_csv,False,True
