model_name,task_name,horizon,sample_count,rmse_target,mae_target,rmse_kpi_saar,mae_kpi_saar
atlantafed_gdpnow,gdp_qoq_saar_h1,1,29.0,1.4770212516695755,1.00495894099104,1.4770212516695755,1.00495894099104
drift,gdp_qoq_saar_h1,1,29.0,8.175715043956034,3.9614726067557844,8.175715043956034,3.9614726067557844
naive_last,gdp_qoq_saar_h1,1,29.0,8.1784612285295,3.9589180676103353,8.1784612285295,3.9589180676103353
local_trend_ssm,gdp_qoq_saar_h1,1,29.0,8.702290577798184,3.8651462038795885,8.702290577798184,3.8651462038795885
auto_arima,gdp_qoq_saar_h1,1,29.0,8.835180098376394,3.8952008901826263,8.835180098376394,3.8952008901826263
ar4,gdp_qoq_saar_h1,1,29.0,8.841775086207349,3.9282258629227194,8.841775086207349,3.9282258629227194
lstm_univariate,gdp_qoq_saar_h1,1,29.0,8.942367807978238,3.9352793333859277,8.942367807978238,3.9352793333859277
theta,gdp_qoq_saar_h1,1,29.0,8.946370246876107,3.970710038322494,8.946370246876107,3.970710038322494
auto_ets,gdp_qoq_saar_h1,1,29.0,8.951631039488953,3.9338699556018044,8.951631039488953,3.9338699556018044
mean,gdp_qoq_saar_h1,1,29.0,9.003542940773078,3.822362034267411,9.003542940773078,3.822362034267411
ensemble_avg_top3,gdp_qoq_saar_h1,1,29.0,9.108073582920012,3.932237567560069,9.108073582920012,3.932237567560069
lstm_multivariate,gdp_qoq_saar_h1,1,29.0,9.434605701155284,4.105520438531349,9.434605701155284,4.105520438531349
seasonal_naive,gdp_qoq_saar_h1,1,29.0,9.437388891880213,4.697252461358992,9.437388891880213,4.697252461358992
chronos2,gdp_qoq_saar_h1,1,29.0,9.521559797029777,4.14966236825647,9.521559797029777,4.14966236825647
random_forest,gdp_qoq_saar_h1,1,29.0,9.610397466748235,4.364418004647066,9.610397466748235,4.364418004647066
random_normal,gdp_qoq_saar_h1,1,29.0,9.752551642002105,5.0385893677413005,9.752551642002105,5.0385893677413005
random_permutation,gdp_qoq_saar_h1,1,29.0,9.936201621099416,5.68674658521496,9.936201621099416,5.68674658521496
mixed_freq_dfm_md,gdp_qoq_saar_h1,1,29.0,10.233233837002372,4.689860936538367,10.233233837002372,4.689860936538367
bvar_minnesota_growth_8,gdp_qoq_saar_h1,1,29.0,11.02589825124137,4.542255992754424,11.02589825124137,4.542255992754424
bvar_minnesota_8,gdp_qoq_saar_h1,1,29.0,11.026788129949955,4.542325582536941,11.026788129949955,4.542325582536941
bvar_minnesota_growth_20,gdp_qoq_saar_h1,1,29.0,11.191130359421619,4.6711756000775555,11.191130359421619,4.6711756000775555
bvar_minnesota_20,gdp_qoq_saar_h1,1,29.0,11.192376396573183,4.671221367245908,11.192376396573183,4.671221367245908
random_uniform,gdp_qoq_saar_h1,1,29.0,11.889894070582443,7.960962035210526,11.889894070582443,7.960962035210526
xgboost,gdp_qoq_saar_h1,1,29.0,12.348760598844718,4.963066917041252,12.348760598844718,4.963066917041252
factor_pca_qd,gdp_qoq_saar_h1,1,29.0,13.245216234633533,5.778644645348069,13.245216234633533,5.778644645348069
