model_name,task_name,horizon,period,sample_count,rmse_target,mae_target,rmse_kpi_saar,mae_kpi_saar
atlantafed_gdpnow,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,2.924433278211561,2.641297149658203,2.924433278211561,2.641297149658203
drift,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,18.78383845173908,13.791325074763105,18.78383845173908,13.791325074763105
naive_last,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,18.793621319335973,13.795874808447774,18.793621319335973,13.795874808447774
local_trend_ssm,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,20.502473589922467,15.280808894083274,20.502473589922467,15.280808894083274
auto_arima,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,20.823253887369,15.330068142763007,20.823253887369,15.330068142763007
ar4,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,20.82635916489308,15.321162422171529,20.82635916489308,15.321162422171529
lstm_univariate,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,21.05405040131737,15.661594653129578,21.05405040131737,15.661594653129578
theta,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,21.06571666668978,15.872630258386963,21.06571666668978,15.872630258386963
auto_ets,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,21.09407205652981,15.883557577462195,21.09407205652981,15.883557577462195
mean,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,21.27446901265798,15.691461477693107,21.27446901265798,15.691461477693107
ensemble_avg_top3,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,21.522361806648046,15.809375968558678,21.522361806648046,15.809375968558678
random_permutation,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,21.55950920663858,15.74190738350153,21.55950920663858,15.74190738350153
seasonal_naive,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,21.840338513464204,17.435706996917723,21.840338513464204,17.435706996917723
random_normal,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,22.136834217989332,15.125701557945533,22.136834217989332,15.125701557945533
lstm_multivariate,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,22.219945843250233,16.355620098114013,22.219945843250233,16.355620098114013
chronos2,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,22.542786840568933,17.21100549697876,22.542786840568933,17.21100549697876
random_forest,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,22.55290393306252,16.406598285219907,22.55290393306252,16.406598285219907
mixed_freq_dfm_md,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,24.091982701897752,18.210344730934672,24.091982701897752,18.210344730934672
random_uniform,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,24.89277907344116,19.998801610957536,24.89277907344116,19.998801610957536
bvar_minnesota_growth_8,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,26.245645791787837,19.63547666400927,26.245645791787837,19.63547666400927
bvar_minnesota_8,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,26.247820623995786,19.635658281579286,26.247820623995786,19.635658281579286
bvar_minnesota_growth_20,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,26.619087542331478,20.022218470833398,26.619087542331478,20.022218470833398
bvar_minnesota_20,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,26.622161420015,20.022206075474088,26.622161420015,20.022206075474088
xgboost,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,29.240710651460294,21.276642203330994,29.240710651460294,21.276642203330994
factor_pca_qd,gdp_qoq_saar_h1,1,covid_2020Q1_2021Q1,5.0,31.11059291436706,23.759555143479396,31.11059291436706,23.759555143479396
atlantafed_gdpnow,gdp_qoq_saar_h1,1,post_covid,19.0,0.9972295504448337,0.701049687674171,0.9972295504448337,0.701049687674171
bvar_minnesota_8,gdp_qoq_saar_h1,1,post_covid,19.0,2.0446394157147427,1.607176347337941,2.0446394157147427,1.607176347337941
bvar_minnesota_growth_8,gdp_qoq_saar_h1,1,post_covid,19.0,2.0446611422694616,1.6071220304987273,2.0446611422694616,1.6071220304987273
mean,gdp_qoq_saar_h1,1,post_covid,19.0,2.1265011288898394,1.5549048171185507,2.1265011288898394,1.5549048171185507
chronos2,gdp_qoq_saar_h1,1,post_covid,19.0,2.1446647966262478,1.703428527242259,2.1446647966262478,1.703428527242259
bvar_minnesota_20,gdp_qoq_saar_h1,1,post_covid,19.0,2.1540306995879135,1.752078189858838,2.1540306995879135,1.752078189858838
bvar_minnesota_growth_20,gdp_qoq_saar_h1,1,post_covid,19.0,2.1541512036900103,1.7520331937708618,2.1541512036900103,1.7520331937708618
ensemble_avg_top3,gdp_qoq_saar_h1,1,post_covid,19.0,2.157683861200793,1.7133226268050943,2.157683861200793,1.7133226268050943
local_trend_ssm,gdp_qoq_saar_h1,1,post_covid,19.0,2.214082179802914,1.7875007600662371,2.214082179802914,1.7875007600662371
auto_arima,gdp_qoq_saar_h1,1,post_covid,19.0,2.2241067516728656,1.7638805079999529,2.2241067516728656,1.7638805079999529
ar4,gdp_qoq_saar_h1,1,post_covid,19.0,2.255796991246839,1.8148383590414185,2.255796991246839,1.8148383590414185
auto_ets,gdp_qoq_saar_h1,1,post_covid,19.0,2.264737804715855,1.6889426329069632,2.264737804715855,1.6889426329069632
lstm_univariate,gdp_qoq_saar_h1,1,post_covid,19.0,2.2989681564694178,1.7335362199105715,2.2989681564694178,1.7335362199105715
theta,gdp_qoq_saar_h1,1,post_covid,19.0,2.301976972893667,1.7469140536992804,2.301976972893667,1.7469140536992804
lstm_multivariate,gdp_qoq_saar_h1,1,post_covid,19.0,2.4190319237634075,1.874241955970463,2.4190319237634075,1.874241955970463
mixed_freq_dfm_md,gdp_qoq_saar_h1,1,post_covid,19.0,2.645074519618608,2.2429240239221455,2.645074519618608,2.2429240239221455
random_forest,gdp_qoq_saar_h1,1,post_covid,19.0,2.659989380635484,2.2565919535120442,2.659989380635484,2.2565919535120442
xgboost,gdp_qoq_saar_h1,1,post_covid,19.0,2.7544470890642567,1.844172593794371,2.7544470890642567,1.844172593794371
naive_last,gdp_qoq_saar_h1,1,post_covid,19.0,3.0023555369227832,2.2591696569794104,3.0023555369227832,2.2591696569794104
drift,gdp_qoq_saar_h1,1,post_covid,19.0,3.0073581967451473,2.2648329831136977,3.0073581967451473,2.2648329831136977
seasonal_naive,gdp_qoq_saar_h1,1,post_covid,19.0,3.165267184579544,2.3189305235580155,3.165267184579544,2.3189305235580155
factor_pca_qd,gdp_qoq_saar_h1,1,post_covid,19.0,3.6057863917154784,2.457105392815293,3.6057863917154784,2.457105392815293
random_normal,gdp_qoq_saar_h1,1,post_covid,19.0,3.8872726331560954,3.2109133221576065,3.8872726331560954,3.2109133221576065
random_permutation,gdp_qoq_saar_h1,1,post_covid,19.0,5.247699604583734,4.161233795316596,5.247699604583734,4.161233795316596
random_uniform,gdp_qoq_saar_h1,1,post_covid,19.0,6.663525319721632,5.626629575545276,6.663525319721632,5.626629575545276
random_forest,gdp_qoq_saar_h1,1,pre_covid,5.0,0.4073668938521924,0.33197671838731563,0.4073668938521924,0.33197671838731563
chronos2,gdp_qoq_saar_h1,1,pre_covid,5.0,0.415831860127989,0.3840078353881836,0.415831860127989,0.3840078353881836
bvar_minnesota_growth_20,gdp_qoq_saar_h1,1,pre_covid,5.0,0.4369151485406885,0.41287387328714437,0.4369151485406885,0.41287387328714437
bvar_minnesota_20,gdp_qoq_saar_h1,1,pre_covid,5.0,0.4370085736536848,0.4129807330885969,0.4370085736536848,0.4129807330885969
ensemble_avg_top3,gdp_qoq_saar_h1,1,pre_covid,5.0,0.49728169693302926,0.48697594143036643,0.49728169693302926,0.48697594143036643
factor_pca_qd,gdp_qoq_saar_h1,1,pre_covid,5.0,0.5019298746900406,0.41958330684129147,0.5019298746900406,0.41958330684129147
local_trend_ssm,gdp_qoq_saar_h1,1,pre_covid,5.0,0.5035520044205991,0.3445362001666378,0.5035520044205991,0.3445362001666378
lstm_multivariate,gdp_qoq_saar_h1,1,pre_covid,5.0,0.5530275673908216,0.3342790126800537,0.5530275673908216,0.3342790126800537
auto_ets,gdp_qoq_saar_h1,1,pre_covid,5.0,0.5600287418852634,0.5149061599818114,0.5600287418852634,0.5149061599818114
theta,gdp_qoq_saar_h1,1,pre_covid,5.0,0.5628005213807998,0.5192145598262411,0.5628005213807998,0.5192145598262411
atlantafed_gdpnow,gdp_qoq_saar_h1,1,pre_covid,5.0,0.5674051137836921,0.5234758949279785,0.5674051137836921,0.5234758949279785
auto_arima,gdp_qoq_saar_h1,1,pre_covid,5.0,0.587526245984242,0.5593510898964029,0.587526245984242,0.5593510898964029
ar4,gdp_qoq_saar_h1,1,pre_covid,5.0,0.5937427057159261,0.5661618184228473,0.5937427057159261,0.5661618184228473
mixed_freq_dfm_md,gdp_qoq_saar_h1,1,pre_covid,5.0,0.6005082023186016,0.46773741008370073,0.6005082023186016,0.46773741008370073
mean,gdp_qoq_saar_h1,1,pre_covid,5.0,0.6191100514526251,0.5696000160073812,0.6191100514526251,0.5696000160073812
bvar_minnesota_8,gdp_qoq_saar_h1,1,pre_covid,5.0,0.6230157957014064,0.6025599772508022,0.6230157957014064,0.6025599772508022
