task_name,window_idx,train_cutoff_timestamp,train_vintage,train_vintage_source,strict_mode,fallback_to_earliest
gdp_qoq_saar_h1,0,2018-07-01T00:00:00,2018-07,historical_csv,True,False
gdp_qoq_saar_h1,1,2018-10-01T00:00:00,2018-10,historical_csv,True,False
gdp_qoq_saar_h1,2,2019-01-01T00:00:00,2019-01,historical_csv,True,False
gdp_qoq_saar_h1,3,2019-04-01T00:00:00,2019-04,historical_csv,True,False
gdp_qoq_saar_h1,4,2019-07-01T00:00:00,2019-07,historical_csv,True,False
gdp_qoq_saar_h1,5,2019-10-01T00:00:00,2019-10,historical_csv,True,False
gdp_qoq_saar_h1,6,2020-01-01T00:00:00,2020-01,historical_csv,True,False
gdp_qoq_saar_h1,7,2020-04-01T00:00:00,2020-04,historical_csv,True,False
gdp_qoq_saar_h1,8,2020-07-01T00:00:00,2020-07,historical_csv,True,False
gdp_qoq_saar_h1,9,2020-10-01T00:00:00,2020-10,historical_csv,True,False
gdp_qoq_saar_h1,10,2021-01-01T00:00:00,2021-01,historical_csv,True,False
gdp_qoq_saar_h1,11,2021-04-01T00:00:00,2021-04,historical_csv,True,False
gdp_qoq_saar_h1,12,2021-07-01T00:00:00,2021-07,historical_csv,True,False
gdp_qoq_saar_h1,13,2021-10-01T00:00:00,2021-10,historical_csv,True,False
gdp_qoq_saar_h1,14,2022-01-01T00:00:00,2022-01,historical_csv,True,False
gdp_qoq_saar_h1,15,2022-04-01T00:00:00,2022-04,historical_csv,True,False
gdp_qoq_saar_h1,16,2022-07-01T00:00:00,2022-07,historical_csv,True,False
gdp_qoq_saar_h1,17,2022-10-01T00:00:00,2022-10,historical_csv,True,False
gdp_qoq_saar_h1,18,2023-01-01T00:00:00,2023-01,historical_csv,True,False
gdp_qoq_saar_h1,19,2023-04-01T00:00:00,2023-04,historical_csv,True,False
gdp_qoq_saar_h1,20,2023-07-01T00:00:00,2023-07,historical_csv,True,False
gdp_qoq_saar_h1,21,2023-10-01T00:00:00,2023-10,historical_csv,True,False
gdp_qoq_saar_h1,22,2024-01-01T00:00:00,2024-01,historical_csv,True,False
gdp_qoq_saar_h1,23,2024-04-01T00:00:00,2024-04,historical_csv,True,False
gdp_qoq_saar_h1,24,2024-07-01T00:00:00,2024-07,historical_csv,True,False
gdp_qoq_saar_h1,25,2024-10-01T00:00:00,2024-10,historical_csv,True,False
gdp_qoq_saar_h1,26,2025-01-01T00:00:00,2025-01,historical_csv,True,False
gdp_qoq_saar_h1,27,2025-04-01T00:00:00,2025-04,historical_csv,True,False
gdp_qoq_saar_h1,28,2025-07-01T00:00:00,2025-07,historical_csv,True,False
