model_name,task_name,horizon,sample_count,rmse_target,mae_target,rmse_kpi_saar,mae_kpi_saar
mean,gdp_saar_third_h1,1,40.0,7.596323299101087,3.0808971509213317,7.596323299101087,3.0808971509213317
mean,gdp_saar_second_h1,1,40.0,7.59892033710549,3.090364195675058,7.59892033710549,3.090364195675058
mean,gdp_saar_first_h1,1,40.0,7.599247047729732,3.090279023079482,7.599247047729732,3.090279023079482
random_forest,gdp_saar_third_h1,1,40.0,8.049422976950218,3.4482933155108584,8.049422976950218,3.4482933155108584
random_forest,gdp_saar_second_h1,1,40.0,8.08316213286374,3.4906685793507806,8.08316213286374,3.4906685793507806
random_forest,gdp_saar_first_h1,1,40.0,8.10282918486821,3.51591489686011,8.10282918486821,3.51591489686011
mixed_freq_dfm_md,gdp_saar_third_h1,1,40.0,8.450937814239236,3.5411850989144114,8.450937814239236,3.5411850989144114
mixed_freq_dfm_md,gdp_saar_second_h1,1,40.0,8.452373913044415,3.5528082556070175,8.452373913044415,3.5528082556070175
mixed_freq_dfm_md,gdp_saar_first_h1,1,40.0,8.464284064864277,3.5852672034862905,8.464284064864277,3.5852672034862905
local_trend_ssm,gdp_saar_third_h1,1,40.0,8.96435843185901,3.443698777762743,8.96435843185901,3.443698777762743
local_trend_ssm,gdp_saar_second_h1,1,40.0,8.971163202426705,3.450119874980383,8.971163202426705,3.450119874980383
local_trend_ssm,gdp_saar_first_h1,1,40.0,8.978101916950344,3.4718013662192924,8.978101916950344,3.4718013662192924
auto_arima,gdp_saar_third_h1,1,40.0,8.978795659212965,3.4252758255031694,8.978795659212965,3.4252758255031694
auto_arima,gdp_saar_first_h1,1,40.0,8.985393035229732,3.4604085151181154,8.985393035229732,3.4604085151181154
auto_arima,gdp_saar_second_h1,1,40.0,8.985712043945757,3.45013585196507,8.985712043945757,3.45013585196507
bvar_minnesota_growth_8,gdp_saar_third_h1,1,40.0,9.192703351677277,3.5259187302910093,9.192703351677277,3.5259187302910093
