model_name,task_name,horizon,period,sample_count,rmse_target,mae_target,rmse_kpi_saar,mae_kpi_saar
mean,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,20.950400502016798,15.507270112750112,20.950400502016798,15.507270112750112
mean,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,20.955826594911915,15.531423978999163,20.955826594911915,15.531423978999163
mean,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,20.95728503279985,15.493999827969668,20.95728503279985,15.493999827969668
random_forest,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,22.1738939278699,16.627679001628856,22.1738939278699,16.627679001628856
random_forest,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,22.243705343475256,16.61916069792024,22.243705343475256,16.61916069792024
random_forest,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,22.255479998647377,16.73545933395521,22.255479998647377,16.73545933395521
mixed_freq_dfm_md,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,23.285092634698362,17.50402606053683,23.285092634698362,17.50402606053683
mixed_freq_dfm_md,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,23.28744500841307,17.526639178353108,23.28744500841307,17.526639178353108
mixed_freq_dfm_md,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,23.28844949979616,17.52467797619326,23.28844949979616,17.52467797619326
local_trend_ssm,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,24.537008212987693,16.92084966369835,24.537008212987693,16.92084966369835
local_trend_ssm,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,24.551981742623767,16.922763006982805,24.551981742623767,16.922763006982805
local_trend_ssm,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,24.562191421024373,16.858429137037,24.562191421024373,16.858429137037
auto_arima,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,24.93702401578458,18.145087821106692,24.93702401578458,18.145087821106692
auto_arima,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,24.952952854843073,18.209886833002734,24.952952854843073,18.209886833002734
auto_arima,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,24.957416786609482,18.204036095933937,24.957416786609482,18.204036095933937
xgboost,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,25.701127119429763,18.509465166926383,25.701127119429763,18.509465166926383
xgboost,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,26.053474131856294,18.418784534931184,26.053474131856294,18.418784534931184
xgboost,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,26.271201284195776,18.564120638370515,26.271201284195776,18.564120638370515
factor_pca_qd,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,31.339415732681985,23.468023985218004,31.339415732681985,23.468023985218004
factor_pca_qd,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,31.34362346084071,23.482493212282392,31.34362346084071,23.482493212282392
factor_pca_qd,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,31.39590572335372,23.630063665527523,31.39590572335372,23.630063665527523
naive_last,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,34.06228874454561,25.896981382369994,34.06228874454561,25.896981382369994
naive_last,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,34.06503431067037,25.971011066436766,34.06503431067037,25.971011066436766
naive_last,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,34.06564660353614,25.880655145645143,34.06564660353614,25.880655145645143
mean,gdp_saar_first_h1,1,post_covid,18.0,2.2101605870546406,1.6538893470100426,2.2101605870546406,1.6538893470100426
mean,gdp_saar_second_h1,1,post_covid,17.0,2.243818875112026,1.652053955456627,2.243818875112026,1.652053955456627
mean,gdp_saar_third_h1,1,post_covid,17.0,2.243919680599354,1.6521584123988053,2.243919680599354,1.6521584123988053
auto_arima,gdp_saar_first_h1,1,post_covid,18.0,2.3381690280192085,1.871365756298763,2.3381690280192085,1.871365756298763
xgboost,gdp_saar_third_h1,1,post_covid,17.0,2.4039181359745934,1.7770397374954294,2.4039181359745934,1.7770397374954294
auto_arima,gdp_saar_third_h1,1,post_covid,17.0,2.4087974215075088,1.8766812510931896,2.4087974215075088,1.8766812510931896
auto_arima,gdp_saar_second_h1,1,post_covid,17.0,2.413799525329124,1.8939459503524594,2.413799525329124,1.8939459503524594
xgboost,gdp_saar_first_h1,1,post_covid,18.0,2.428103949333495,1.8215586890776951,2.428103949333495,1.8215586890776951
xgboost,gdp_saar_second_h1,1,post_covid,17.0,2.4920949607139256,1.7420515233979506,2.4920949607139256,1.7420515233979506
random_forest,gdp_saar_third_h1,1,post_covid,17.0,2.5560178521937593,2.260649928252466,2.5560178521937593,2.260649928252466
random_forest,gdp_saar_second_h1,1,post_covid,17.0,2.5879761570573763,2.2917688001249883,2.5879761570573763,2.2917688001249883
mixed_freq_dfm_md,gdp_saar_third_h1,1,post_covid,17.0,2.6833404096363385,2.2193854431570315,2.6833404096363385,2.2193854431570315
mixed_freq_dfm_md,gdp_saar_second_h1,1,post_covid,17.0,2.684018935274629,2.2210192136614344,2.684018935274629,2.2210192136614344
random_forest,gdp_saar_first_h1,1,post_covid,18.0,2.7008487556715712,2.3393009601956103,2.7008487556715712,2.3393009601956103
mixed_freq_dfm_md,gdp_saar_first_h1,1,post_covid,18.0,2.725297262330219,2.277825274799867,2.725297262330219,2.277825274799867
naive_last,gdp_saar_first_h1,1,post_covid,18.0,3.0946271056320462,2.2990815540154776,3.0946271056320462,2.2990815540154776
naive_last,gdp_saar_second_h1,1,post_covid,17.0,3.1922657482052132,2.3410184874254116,3.1922657482052132,2.3410184874254116
naive_last,gdp_saar_third_h1,1,post_covid,17.0,3.1928783396910227,2.3458203217562508,3.1928783396910227,2.3458203217562508
local_trend_ssm,gdp_saar_first_h1,1,post_covid,18.0,3.2672283731307066,2.3001907470520386,3.2672283731307066,2.3001907470520386
local_trend_ssm,gdp_saar_third_h1,1,post_covid,17.0,3.3313653561648646,2.3293915992418808,3.3313653561648646,2.3293915992418808
local_trend_ssm,gdp_saar_second_h1,1,post_covid,17.0,3.338698356509151,2.3348920716019324,3.338698356509151,2.3348920716019324
factor_pca_qd,gdp_saar_first_h1,1,post_covid,18.0,3.5363484401394834,2.4971065983793306,3.5363484401394834,2.4971065983793306
factor_pca_qd,gdp_saar_third_h1,1,post_covid,17.0,3.5984738932649796,2.423081805826073,3.5984738932649796,2.423081805826073
factor_pca_qd,gdp_saar_second_h1,1,post_covid,17.0,3.5992856356057197,2.4227077285392418,3.5992856356057197,2.4227077285392418
local_trend_ssm,gdp_saar_third_h1,1,pre_covid,18.0,0.924935621068899,0.7524469780503322,0.924935621068899,0.7524469780503322
local_trend_ssm,gdp_saar_second_h1,1,pre_covid,18.0,0.9361361654421702,0.7609897081704696,0.9361361654421702,0.7609897081704696
local_trend_ssm,gdp_saar_first_h1,1,pre_covid,17.0,0.9579470042831099,0.7750867950970589,0.9579470042831099,0.7750867950970589
auto_arima,gdp_saar_third_h1,1,pre_covid,18.0,0.967121745563085,0.7990007025560608,0.967121745563085,0.7990007025560608
auto_arima,gdp_saar_second_h1,1,pre_covid,18.0,0.9838212931733307,0.8199399309776298,0.9838212931733307,0.8199399309776298
auto_arima,gdp_saar_first_h1,1,pre_covid,17.0,0.9917790709547779,0.8065633242163048,0.9917790709547779,0.8065633242163048
