model_1,model_2,win_rate,skill_score
mean,mean,0.5,0.0
mean,auto_arima,1.0,0.07187505175790088
mean,theta,1.0,0.08425059508045973
mean,random_forest,1.0,0.08581314431260845
mean,auto_ets,1.0,0.0924377999436814
mean,mixed_freq_dfm_md,1.0,0.0964695628633081
mean,xgboost,1.0,0.12054631554518747
mean,local_trend_ssm,1.0,0.14340230835826262
mean,factor_pca_qd,1.0,0.26318530840422616
mean,naive_last,1.0,0.3189426764194787
mean,drift,1.0,0.32056029281812437
mean,seasonal_naive,1.0,0.4134322426641548
auto_arima,mean,0.0,-0.0774411375257551
auto_arima,auto_arima,0.5,0.0
auto_arima,theta,0.9166666666666666,0.013333919474957101
auto_arima,random_forest,1.0,0.015017474297083444
auto_arima,auto_ets,1.0,0.0221551507959431
auto_arima,mixed_freq_dfm_md,1.0,0.02649913802229975
auto_arima,xgboost,1.0,0.05244042181979025
auto_arima,local_trend_ssm,0.9166666666666666,0.07706640871559045
auto_arima,factor_pca_qd,1.0,0.2061255405413609
auto_arima,naive_last,1.0,0.26620082256115685
auto_arima,drift,1.0,0.26794370901379383
auto_arima,seasonal_naive,1.0,0.3680077683001357
theta,mean,0.0,-0.09200180161499771
theta,auto_arima,0.08333333333333333,-0.013514115604198684
theta,theta,0.5,0.0
theta,random_forest,0.5833333333333334,0.0017063065766185215
theta,auto_ets,0.9166666666666666,0.008940442460829146
theta,mixed_freq_dfm_md,1.0,0.013343134832745962
theta,xgboost,1.0,0.03963499213839705
theta,local_trend_ssm,1.0,0.06459377746797457
theta,factor_pca_qd,1.0,0.195397029321016
theta,naive_last,1.0,0.25628417564698236
theta,drift,1.0,0.2580506156686253
theta,seasonal_naive,1.0,0.35946695221998826
random_forest,mean,0.0,-0.0938682762487153
random_forest,auto_arima,0.0,-0.015246437277013136
random_forest,theta,0.4166666666666667,-0.0017092230351243298
random_forest,random_forest,0.5,0.0
random_forest,auto_ets,0.8333333333333334,0.0072465006359030415
random_forest,mixed_freq_dfm_md,1.0,0.011656718191038529
random_forest,xgboost,0.8333333333333334,0.03799351414483265
random_forest,local_trend_ssm,0.75,0.06299495960522417
random_forest,factor_pca_qd,1.0,0.194021783389402
random_forest,naive_last,1.0,0.2550129994284117
random_forest,drift,1.0,0.2567824586900298
random_forest,seasonal_naive,1.0,0.3583721383799643
auto_ets,mean,0.0,-0.10185285365338625
auto_ets,auto_arima,0.0,-0.02265712276745835
auto_ets,theta,0.08333333333333333,-0.00902109504198556
auto_ets,random_forest,0.16666666666666666,-0.007299395711568568
auto_ets,auto_ets,0.5,0.0
auto_ets,mixed_freq_dfm_md,0.75,0.004442409478244591
auto_ets,xgboost,0.8333333333333334,0.030971448127480206
auto_ets,local_trend_ssm,0.75,0.056155389031648295
auto_ets,factor_pca_qd,1.0,0.18813862945145687
auto_ets,naive_last,1.0,0.249575044511265
auto_ets,drift,1.0,0.25135741975622916
auto_ets,seasonal_naive,1.0,0.3536886427184319
mixed_freq_dfm_md,mean,0.0,-0.10676957731387793
mixed_freq_dfm_md,auto_arima,0.0,-0.027220456660373094
mixed_freq_dfm_md,theta,0.0,-0.013523581808234875
mixed_freq_dfm_md,random_forest,0.0,-0.01179419985503749
mixed_freq_dfm_md,auto_ets,0.25,-0.00446223254238487
mixed_freq_dfm_md,mixed_freq_dfm_md,0.5,0.0
mixed_freq_dfm_md,xgboost,0.75,0.026647417388814487
mixed_freq_dfm_md,local_trend_ssm,0.75,0.05194373489363069
mixed_freq_dfm_md,factor_pca_qd,1.0,0.18451591522388988
mixed_freq_dfm_md,naive_last,1.0,0.24622647385426544
mixed_freq_dfm_md,drift,1.0,0.24801680247205038
mixed_freq_dfm_md,seasonal_naive,1.0,0.3508046511474572
xgboost,mean,0.0,-0.13706954405440475
xgboost,auto_arima,0.0,-0.05534261172316168
xgboost,theta,0.0,-0.04127075831995408
xgboost,random_forest,0.16666666666666666,-0.03949403117699224
xgboost,auto_ets,0.16666666666666666,-0.03196133701905057
