task_name,model_name,num_windows,prep_time_s,inference_time_s,avg_time_per_window
gdp_saar_first_h1,xgboost,10,0.0,15.394777207868174,1.5394777207868173
gdp_saar_second_h1,xgboost,10,0.0,14.16335883399006,1.416335883399006
gdp_saar_third_h1,xgboost,10,0.0,13.762321124901064,1.3762321124901065
gdp_saar_second_h1,auto_arima,10,0.0,7.686200542841107,0.7686200542841106
gdp_saar_third_h1,auto_arima,10,0.0,7.242258959216997,0.7242258959216997
gdp_saar_first_h1,auto_arima,10,0.0,5.315387750859372,0.5315387750859373
gdp_saar_second_h1,random_forest,10,0.0,1.466503790114075,0.14665037901140748
gdp_saar_first_h1,random_forest,10,0.0,1.2843773338245228,0.1284377333824523
gdp_saar_third_h1,random_forest,10,0.0,1.2325496253324673,0.12325496253324672
gdp_saar_second_h1,auto_ets,10,0.0,0.4337597917765379,0.04337597917765379
gdp_saar_first_h1,auto_ets,10,0.0,0.37004233233164996,0.037004233233165
gdp_saar_third_h1,auto_ets,10,0.0,0.34727041714359075,0.03472704171435907
gdp_saar_first_h1,factor_pca_qd,10,0.0,0.2081952899461612,0.020819528994616122
gdp_saar_third_h1,factor_pca_qd,10,0.0,0.204960708739236,0.0204960708739236
gdp_saar_second_h1,factor_pca_qd,10,0.0,0.2025483741890639,0.02025483741890639
gdp_saar_second_h1,theta,10,0.0,0.15592953993473202,0.015592953993473203
gdp_saar_third_h1,bvar_minnesota_growth_20,10,0.0,0.13261446100659668,0.013261446100659668
gdp_saar_second_h1,bvar_minnesota_growth_20,10,0.0,0.13145616499241441,0.013145616499241442
gdp_saar_first_h1,bvar_minnesota_growth_20,10,0.0,0.13077670673374087,0.013077670673374087
gdp_saar_first_h1,ar4,10,0.0,0.11911000008694828,0.011911000008694828
gdp_saar_first_h1,theta,10,0.0,0.11629629123490304,0.011629629123490304
gdp_saar_third_h1,bvar_minnesota_growth_8,10,0.0,0.11321079090703279,0.01132107909070328
gdp_saar_first_h1,bvar_minnesota_growth_8,10,0.0,0.11208058591000736,0.011208058591000736
gdp_saar_second_h1,bvar_minnesota_growth_8,10,0.0,0.11194483377039433,0.011194483377039433
gdp_saar_third_h1,theta,10,0.0,0.11129462590906769,0.01112946259090677
gdp_saar_second_h1,mixed_freq_dfm_md,10,0.0,0.08496325078886002,0.008496325078886003
gdp_saar_third_h1,mixed_freq_dfm_md,10,0.0,0.08486858080141246,0.008486858080141246
gdp_saar_first_h1,mixed_freq_dfm_md,10,0.0,0.08292970899492502,0.008292970899492502
gdp_saar_second_h1,ar4,10,0.0,0.06533462309744209,0.006533462309744209
gdp_saar_third_h1,ar4,10,0.0,0.058295416878536344,0.005829541687853634
gdp_saar_first_h1,mean,10,0.0,0.05331520899198949,0.005331520899198949
gdp_saar_first_h1,naive_last,10,0.0,0.05271520838141441,0.005271520838141442
gdp_saar_second_h1,mean,10,0.0,0.0513814187142998,0.00513814187142998
gdp_saar_second_h1,naive_last,10,0.0,0.05058058409485966,0.005058058409485966
gdp_saar_third_h1,naive_last,10,0.0,0.04837179195601493,0.004837179195601493
gdp_saar_third_h1,mean,10,0.0,0.048043249058537185,0.004804324905853719
gdp_saar_third_h1,ecb_nowcast_mqdfm,10,0.0,0.03798479191027582,0.0037984791910275818
gdp_saar_second_h1,ecb_nowcast_mqdfm,10,0.0,0.037415290833450854,0.0037415290833450856
gdp_saar_first_h1,nyfed_nowcast_mqdfm,10,0.0,0.03734341822564602,0.003734341822564602
gdp_saar_first_h1,ecb_nowcast_mqdfm,10,0.0,0.0372629581252113,0.00372629581252113
gdp_saar_second_h1,nyfed_nowcast_mqdfm,10,0.0,0.03714458306785673,0.0037144583067856727
gdp_saar_third_h1,nyfed_nowcast_mqdfm,10,0.0,0.03582729084882885,0.0035827290848828852
