model_name,task_name,horizon,sample_count,rmse_target,mae_target,rmse_kpi_saar,mae_kpi_saar
mean,gdp_saar_first_h1,1,100.0,5.305292552550093,2.434421711445121,5.305292552550093,2.434421711445121
mean,gdp_saar_third_h1,1,100.0,5.310748821458397,2.4469283936755817,5.310748821458397,2.4469283936755817
mean,gdp_saar_second_h1,1,100.0,5.31223475523301,2.4507152115770716,5.31223475523301,2.4507152115770716
random_forest,gdp_saar_second_h1,1,100.0,5.552273123553431,2.4834337303395833,5.552273123553431,2.4834337303395833
random_forest,gdp_saar_third_h1,1,100.0,5.5566394929661636,2.485227138891495,5.5566394929661636,2.485227138891495
random_forest,gdp_saar_first_h1,1,100.0,5.561053240984129,2.4707137641350108,5.561053240984129,2.4707137641350108
mixed_freq_dfm_md,gdp_saar_first_h1,1,100.0,5.714455301147375,2.6409439083886332,5.714455301147375,2.6409439083886332
mixed_freq_dfm_md,gdp_saar_third_h1,1,100.0,5.715057546566715,2.6410948711950146,5.715057546566715,2.6410948711950146
mixed_freq_dfm_md,gdp_saar_second_h1,1,100.0,5.715906987598661,2.645744133872057,5.715906987598661,2.645744133872057
local_trend_ssm,gdp_saar_first_h1,1,100.0,5.963944302389958,2.413185358251857,5.963944302389958,2.413185358251857
local_trend_ssm,gdp_saar_third_h1,1,100.0,5.970745446505092,2.439216468768219,5.970745446505092,2.439216468768219
local_trend_ssm,gdp_saar_second_h1,1,100.0,5.974832217799475,2.4417849076552756,5.974832217799475,2.4417849076552756
auto_arima,gdp_saar_first_h1,1,100.0,6.002250946080812,2.468397352350643,6.002250946080812,2.468397352350643
auto_arima,gdp_saar_third_h1,1,100.0,6.009493640688647,2.48425040330003,6.009493640688647,2.48425040330003
auto_arima,gdp_saar_second_h1,1,100.0,6.013627324352697,2.4941944138847902,6.013627324352697,2.4941944138847902
bvar_minnesota_growth_8,gdp_saar_first_h1,1,100.0,6.141184906116853,2.499195338150786,6.141184906116853,2.499195338150786
bvar_minnesota_8,gdp_saar_first_h1,1,100.0,6.141521768280439,2.4991548273368434,6.141521768280439,2.4991548273368434
bvar_minnesota_growth_8,gdp_saar_third_h1,1,100.0,6.1460921181888315,2.519826268536885,6.1460921181888315,2.519826268536885
bvar_minnesota_8,gdp_saar_third_h1,1,100.0,6.146431468792013,2.5198014635164485,6.146431468792013,2.5198014635164485
bvar_minnesota_growth_8,gdp_saar_second_h1,1,100.0,6.14713778461077,2.5220421481451676,6.14713778461077,2.5220421481451676
bvar_minnesota_8,gdp_saar_second_h1,1,100.0,6.1474768246060485,2.5220178710436074,6.1474768246060485,2.5220178710436074
auto_ets,gdp_saar_third_h1,1,100.0,6.150622246923573,2.661220392310571,6.150622246923573,2.661220392310571
auto_ets,gdp_saar_first_h1,1,100.0,6.15265144401859,2.65010916109203,6.15265144401859,2.65010916109203
auto_ets,gdp_saar_second_h1,1,100.0,6.152695965489347,2.6658165723215963,6.152695965489347,2.6658165723215963
theta,gdp_saar_third_h1,1,100.0,6.157577249191691,2.5682027940493373,6.157577249191691,2.5682027940493373
theta,gdp_saar_first_h1,1,100.0,6.158743534806411,2.5538425757342487,6.158743534806411,2.5538425757342487
theta,gdp_saar_second_h1,1,100.0,6.159317059221658,2.572861700529263,6.159317059221658,2.572861700529263
chronos2,gdp_saar_first_h1,1,100.0,6.217078644218227,2.6166891450434924,6.217078644218227,2.6166891450434924
chronos2,gdp_saar_third_h1,1,100.0,6.225978082757059,2.6290609551221134,6.225978082757059,2.6290609551221134
chronos2,gdp_saar_second_h1,1,100.0,6.226412576346718,2.6338122165948152,6.226412576346718,2.6338122165948152
bvar_minnesota_growth_20,gdp_saar_first_h1,1,100.0,6.386387856316326,2.6475115049515177,6.386387856316326,2.6475115049515177
bvar_minnesota_20,gdp_saar_first_h1,1,100.0,6.38678871746285,2.6473239814622604,6.38678871746285,2.6473239814622604
bvar_minnesota_growth_20,gdp_saar_third_h1,1,100.0,6.389089363021011,2.6623251770199925,6.389089363021011,2.6623251770199925
bvar_minnesota_20,gdp_saar_third_h1,1,100.0,6.38948940440614,2.662168778346985,6.38948940440614,2.662168778346985
bvar_minnesota_growth_20,gdp_saar_second_h1,1,100.0,6.390209493963252,2.6644896989930213,6.390209493963252,2.6644896989930213
bvar_minnesota_20,gdp_saar_second_h1,1,100.0,6.390608998449129,2.6643339807992117,6.390608998449129,2.6643339807992117
xgboost,gdp_saar_first_h1,1,100.0,6.725741190735328,2.4730927113935466,6.725741190735328,2.4730927113935466
xgboost,gdp_saar_second_h1,1,100.0,6.77964248732728,2.575351358242333,6.77964248732728,2.575351358242333
xgboost,gdp_saar_third_h1,1,100.0,6.7899083504495135,2.536023837849498,6.7899083504495135,2.536023837849498
factor_pca_qd,gdp_saar_third_h1,1,100.0,7.4438108871908275,2.924980506463836,7.4438108871908275,2.924980506463836
factor_pca_qd,gdp_saar_second_h1,1,100.0,7.4438672428484045,2.927009927096782,7.4438672428484045,2.927009927096782
factor_pca_qd,gdp_saar_first_h1,1,100.0,7.454006088404091,2.94427659724192,7.454006088404091,2.94427659724192
seasonal_naive,gdp_saar_first_h1,1,100.0,7.518533805108132,3.757439326494932,7.518533805108132,3.757439326494932
seasonal_naive,gdp_saar_third_h1,1,100.0,7.530257538228147,3.7993667732179164,7.530257538228147,3.7993667732179164
seasonal_naive,gdp_saar_second_h1,1,100.0,7.533749190062208,3.8024073539674283,7.533749190062208,3.8024073539674283
naive_last,gdp_saar_first_h1,1,100.0,8.015307227765799,3.219633479565382,8.015307227765799,3.219633479565382
drift,gdp_saar_first_h1,1,100.0,8.032250565638464,3.2248918740736765,8.032250565638464,3.2248918740736765
naive_last,gdp_saar_third_h1,1,100.0,8.048729654722498,3.2715759648382665,8.048729654722498,3.2715759648382665
naive_last,gdp_saar_second_h1,1,100.0,8.04886373980397,3.2767799462378027,8.04886373980397,3.2767799462378027
drift,gdp_saar_third_h1,1,100.0,8.065460314881372,3.2775396944467237,8.065460314881372,3.2775396944467237
drift,gdp_saar_second_h1,1,100.0,8.065594793320702,3.2827498542946234,8.065594793320702,3.2827498542946234
