run_timestamp_utc,vintage,observed_max_quarter,target_quarter_requested,model,horizon,target_quarter,last_observed_level,y_hat_level,y_hat_prev_level,qoq_pct,g_hat_saar,error
2026-02-16T14:46:41+00:00,2026-02,2025Q3,2025Q4,naive_last_growth,1,2025Q4,24026.834,24285.445917893987,24026.834,1.0763462131298196,4.3753962528715995,
2026-02-16T14:46:41+00:00,2026-02,2025Q3,2025Q4,mean_growth,1,2025Q4,24026.834,24216.93923116042,24026.834,0.7912204794040756,3.20264223140565,
2026-02-16T14:46:41+00:00,2026-02,2025Q3,2025Q4,ar4_growth,1,2025Q4,24026.834,24234.87907749604,24026.834,0.8658863564631192,3.5087912214284867,
2026-02-16T14:46:41+00:00,2026-02,2025Q3,2025Q4,auto_arima_growth,1,2025Q4,24026.834,24228.77677245036,24026.834,0.8404884823791647,3.404577177336221,
2026-02-16T14:46:41+00:00,2026-02,2025Q3,2025Q4,auto_ets_growth,1,2025Q4,24026.834,24151.84779933557,24026.834,0.5203090816525036,2.097536035877612,
2026-02-16T14:46:41+00:00,2026-02,2025Q3,2025Q4,theta_growth,1,2025Q4,24026.834,24194.186354071775,24026.834,0.6965227048714606,2.8153348530450817,
2026-02-16T14:46:41+00:00,2026-02,2025Q3,2025Q4,local_trend_ssm_growth,1,2025Q4,24026.834,24157.429705610914,24026.834,0.5435410491907211,2.191954729202128,
2026-02-16T14:46:41+00:00,2026-02,2025Q3,2025Q4,random_forest_growth,1,2025Q4,24026.834,24296.91421686662,24026.834,1.1240774247103014,4.572692430042058,
2026-02-16T14:46:41+00:00,2026-02,2025Q3,2025Q4,xgboost_growth,1,2025Q4,24026.834,24285.22449106038,24026.834,1.0754246317279392,4.371589660644526,
2026-02-16T14:46:41+00:00,2026-02,2025Q3,2025Q4,chronos2_growth,1,2025Q4,24026.834,24308.44990666412,24026.834,1.1720891177927184,4.771430015563993,
2026-02-16T14:46:41+00:00,2026-02,2025Q3,2025Q4,factor_pca_qd_growth,1,2025Q4,24026.834,24069.789813326875,24026.834,0.17878266161441836,0.7170507276742066,
2026-02-16T14:46:41+00:00,2026-02,2025Q3,2025Q4,bvar_minnesota_growth_8,1,2025Q4,24026.834,24273.34256764157,24026.834,1.0259719097471365,4.167477831316813,
2026-02-16T14:46:41+00:00,2026-02,2025Q3,2025Q4,bvar_minnesota_growth_20,1,2025Q4,24026.834,24180.094255266813,24026.834,0.6378712037832912,2.5760015757718246,
2026-02-16T14:46:41+00:00,2026-02,2025Q3,2025Q4,mixed_freq_dfm_md_growth,1,2025Q4,24026.834,24081.783528673146,24026.834,0.22870066307174586,0.9179456794032426,
2026-02-16T14:46:41+00:00,2026-02,2025Q3,2025Q4,ensemble_avg_top3_processed_g,1,2025Q4,24026.834,24223.761051212652,24026.834,0.8196129844350475,3.3189785507365066,
2026-02-16T14:46:41+00:00,2026-02,2025Q3,2025Q4,ensemble_weighted_top5_processed_g,1,2025Q4,24026.834,24233.237281681766,24026.834,0.8590531806303092,3.4807451921571975,
